2026-01-08 13:31:49 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 13:31:49 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 13:31:49 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2026-01-08 13:31:49 UTC | INFO     | server | Using specified account: 5WI12958
2026-01-08 13:36:50 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 13:41:50 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 13:46:50 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 13:51:50 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 13:56:51 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:01:51 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:06:51 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:11:52 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:16:52 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:21:52 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:26:53 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:31:53 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:36:53 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:41:53 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:46:54 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:51:54 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 14:56:54 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:01:55 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:06:55 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:11:55 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:16:56 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:21:56 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:26:56 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:31:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:36:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:41:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:46:57 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:51:58 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 15:56:58 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:01:58 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:06:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:11:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:16:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:21:59 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:27:00 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:32:00 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:37:00 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:42:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:47:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:52:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 16:57:01 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:02:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:07:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:12:02 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:17:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:22:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:27:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:32:03 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:37:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:42:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:47:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:52:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 17:57:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:02:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:07:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:12:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:17:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:22:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:27:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:32:07 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:37:07 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:42:07 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:47:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:52:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 18:57:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 19:02:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 19:07:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 19:12:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 19:17:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-08 19:19:32 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 19:19:32 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 19:19:33 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2026-01-08 19:19:33 UTC | INFO     | server | Using specified account: 5WI12958
2026-01-08 19:19:36 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 19:19:40 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 19:19:44 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
2026-01-08 19:19:48 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-08.log
