2025-12-29 15:41:36 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-29 15:41:37 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2025-12-29 15:41:37 UTC | INFO     | server | Using specified account: 5WI12958
2025-12-29 15:42:41 UTC | INFO     | server | Session keep-alive task cancelled
2025-12-30 02:48:39 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-30 02:48:39 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2025-12-30 02:48:39 UTC | INFO     | server | Using specified account: 5WI12958
2025-12-30 02:48:40 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-30 02:53:39 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 02:58:39 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:03:40 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:08:40 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:13:40 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:18:41 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:19:07 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-30 03:19:16 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-30 03:19:16 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2025-12-30 03:19:16 UTC | INFO     | server | Using specified account: 5WI12958
2025-12-30 03:24:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:29:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:34:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:39:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:44:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:47:13 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-30 03:47:14 UTC | INFO     | server | Successfully authenticated with Tastytrade. Found 2 account(s).
2025-12-30 03:47:14 UTC | INFO     | server | Using specified account: 5WI12958
2025-12-30 03:47:14 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2025-12-29.log
2025-12-30 03:52:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 03:57:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:02:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:07:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:12:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:17:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:22:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:27:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:32:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:37:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:42:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:47:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:52:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 04:57:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:02:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:07:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:12:19 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:17:19 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:22:19 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:27:20 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:32:20 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:37:20 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:42:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:47:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:52:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 05:57:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:02:22 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:07:22 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:12:22 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:17:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:22:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:27:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:32:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:37:24 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:42:24 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:47:24 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:52:24 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 06:57:25 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:02:25 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:07:25 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:12:26 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:17:26 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:22:26 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:27:27 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:32:27 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:37:27 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:42:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:47:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:52:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 07:57:28 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:02:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:07:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:12:29 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:17:30 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:22:30 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:27:30 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:32:31 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:37:31 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:42:31 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:47:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:52:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 08:57:32 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:02:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:07:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:12:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:17:33 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:22:34 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:27:34 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:32:34 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:37:35 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:42:35 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:47:35 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:52:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 09:57:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:02:36 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:07:37 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:12:37 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:17:37 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:22:38 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:27:38 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:32:38 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:37:39 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:42:39 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2025-12-30 10:47:39 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
