2026-01-09 13:20:04 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 13:20:04 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 13:20:04 UTC | INFO     | server | Successfully authenticated with Tastytrade (sandbox=False). Found 2 account(s).
2026-01-09 13:20:04 UTC | INFO     | server | Using specified account: 5WI12958
2026-01-09 13:25:04 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 13:30:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 13:35:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 13:40:05 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 13:45:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 13:50:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 13:55:06 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:00:07 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:05:07 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:10:07 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:15:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:20:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:25:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:30:08 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:35:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:40:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:45:09 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:50:10 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 14:55:10 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:00:10 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:05:11 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:10:11 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:15:11 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:20:11 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:25:12 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:30:12 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:35:12 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:40:12 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:45:13 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:50:13 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 15:55:13 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:00:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:05:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:10:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:15:14 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:20:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:25:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:30:15 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:35:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:40:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:45:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:50:16 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 16:55:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:00:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:05:17 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:10:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:15:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:20:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:25:18 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:30:19 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:35:19 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:40:19 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:45:20 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:49:11 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 17:49:39 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 17:50:20 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 17:54:41 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 17:54:55 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 17:55:12 UTC | INFO     | server | Logger initialized for server - Logging to /app/Logs/server_2026-01-09.log
2026-01-09 17:55:20 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:00:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:05:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:10:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:15:21 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:20:22 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:25:22 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:30:22 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:35:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:40:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:45:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:50:23 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 18:55:24 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
2026-01-09 19:00:24 UTC | INFO     | server | Refreshing session (expires in 10.0 min)
